               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 106,            0.040814,             0.02335,           0.0010668,             0.85586,             0.86038,             0.86608,             0.39386,            0.039504,            0.026322,           0.0010731,           0.0048025,           0.0048025,           0.0048025
                 107,            0.040082,            0.023017,           0.0010761,             0.84007,             0.75631,             0.82354,             0.36005,            0.039788,            0.026995,           0.0014996,            0.004753,            0.004753,            0.004753
                 108,            0.040466,            0.023015,           0.0010193,             0.72803,             0.76824,             0.76463,             0.31232,            0.043503,            0.025707,           0.0017812,           0.0047035,           0.0047035,           0.0047035
                 109,            0.039847,            0.022937,           0.0012109,             0.84274,             0.71616,             0.80095,             0.34476,            0.042815,            0.029333,          0.00095419,            0.004654,            0.004654,            0.004654
                 110,            0.039344,            0.023655,           0.0012797,             0.83158,             0.79202,             0.84195,             0.34153,            0.040914,            0.026075,           0.0012077,           0.0046045,           0.0046045,           0.0046045
                 111,              0.0401,            0.023691,           0.0010629,             0.83907,             0.74676,             0.84958,              0.3507,            0.042402,             0.02715,           0.0019283,            0.004555,            0.004555,            0.004555
                 112,            0.038735,            0.023141,           0.0010258,             0.76239,             0.66185,             0.75901,             0.29895,            0.043191,             0.02678,           0.0012754,           0.0045055,           0.0045055,           0.0045055
                 113,             0.03891,            0.023154,           0.0011196,             0.75892,             0.77933,             0.80961,             0.34926,              0.0407,            0.024109,          0.00089878,            0.004456,            0.004456,            0.004456
                 114,            0.038111,            0.023114,           0.0011784,             0.68185,              0.7154,             0.74226,             0.35877,            0.037558,            0.025623,           0.0016186,           0.0044065,           0.0044065,           0.0044065
                 115,            0.037566,            0.022666,          0.00095502,             0.64909,             0.69931,              0.7586,             0.33987,            0.038815,            0.025916,           0.0012311,            0.004357,            0.004357,            0.004357
                 116,            0.038495,            0.022298,           0.0010752,             0.76484,              0.7634,             0.79597,             0.30294,            0.042539,            0.027337,           0.0013569,           0.0043075,           0.0043075,           0.0043075
                 117,            0.039403,            0.023021,           0.0011194,             0.82423,             0.83432,             0.88274,             0.34467,            0.041299,            0.024702,           0.0018553,            0.004258,            0.004258,            0.004258
                 118,             0.03789,            0.022777,           0.0008337,             0.72391,             0.75033,             0.76742,             0.32549,            0.039843,            0.027658,           0.0012914,           0.0042085,           0.0042085,           0.0042085
                 119,            0.038693,            0.022592,           0.0010397,              0.6949,             0.78889,             0.77362,             0.36189,            0.039079,            0.025957,           0.0010994,            0.004159,            0.004159,            0.004159
                 120,            0.038408,            0.022613,          0.00097715,              0.9101,             0.80443,              0.8916,              0.3715,            0.037704,            0.023533,           0.0010351,           0.0041095,           0.0041095,           0.0041095
                 121,            0.038699,            0.022316,           0.0011892,             0.61399,             0.76019,             0.65899,             0.26715,            0.044599,            0.024981,           0.0014281,             0.00406,             0.00406,             0.00406
                 122,            0.037073,             0.02186,          0.00088989,             0.84121,             0.72925,             0.83089,             0.38963,            0.040826,            0.025817,           0.0017419,           0.0040105,           0.0040105,           0.0040105
                 123,            0.038105,            0.022109,          0.00080438,             0.70061,               0.768,             0.73059,             0.30163,            0.042655,            0.024429,           0.0015972,            0.003961,            0.003961,            0.003961
                 124,            0.036364,            0.022137,          0.00076215,             0.68436,             0.69664,             0.74943,             0.34175,            0.038936,            0.026728,           0.0024657,           0.0039115,           0.0039115,           0.0039115
                 125,            0.036066,            0.021982,          0.00085153,             0.66375,             0.65495,             0.72776,             0.34074,            0.039956,            0.025799,           0.0015142,            0.003862,            0.003862,            0.003862
                 126,            0.037691,            0.021897,          0.00075948,             0.83194,             0.82812,             0.88537,             0.37401,            0.040379,            0.023931,           0.0010393,           0.0038125,           0.0038125,           0.0038125
                 127,            0.037973,            0.021868,          0.00091644,             0.82643,             0.83719,             0.86178,             0.37356,            0.040371,             0.02527,           0.0010098,            0.003763,            0.003763,            0.003763
                 128,            0.038377,            0.022261,            0.001205,              0.7965,             0.83571,             0.85575,             0.33973,            0.041489,            0.024217,            0.002405,           0.0037135,           0.0037135,           0.0037135
                 129,             0.03851,            0.022632,           0.0010592,             0.85608,             0.73233,             0.82606,             0.34677,            0.041124,            0.027833,            0.001671,            0.003664,            0.003664,            0.003664
                 130,            0.038032,            0.022439,           0.0010164,             0.72428,              0.7734,             0.81885,             0.32973,            0.041276,            0.025946,           0.0025516,           0.0036145,           0.0036145,           0.0036145
                 131,            0.038369,            0.022103,           0.0012134,             0.65408,             0.64476,             0.67153,             0.28862,            0.044041,            0.025318,           0.0019627,            0.003565,            0.003565,            0.003565
                 132,            0.038643,            0.022064,           0.0011404,             0.83459,              0.8089,             0.84416,             0.34827,            0.043272,            0.025084,           0.0023044,           0.0035155,           0.0035155,           0.0035155
                 133,            0.037031,            0.021992,           0.0012948,             0.73121,             0.66329,             0.74026,             0.30258,            0.048548,            0.031863,           0.0021025,            0.003466,            0.003466,            0.003466
                 134,            0.037083,            0.022105,           0.0012789,             0.87362,             0.78242,             0.85078,             0.37288,             0.03806,            0.023299,           0.0012681,           0.0034165,           0.0034165,           0.0034165
                 135,            0.036503,            0.021766,          0.00098816,             0.86569,             0.77715,             0.88051,             0.37938,            0.038393,            0.025169,           0.0012018,            0.003367,            0.003367,            0.003367
                 136,             0.03832,             0.02211,           0.0011512,              0.7755,             0.73677,             0.76552,             0.29946,            0.043472,            0.024177,           0.0034066,           0.0033175,           0.0033175,           0.0033175
                 137,            0.036776,            0.021868,          0.00080918,             0.81154,             0.78774,             0.83875,             0.38044,            0.042111,            0.023435,          0.00081838,            0.003268,            0.003268,            0.003268
                 138,            0.036628,             0.02164,          0.00083142,             0.75868,             0.74893,             0.74278,              0.3325,            0.040261,            0.022363,           0.0014681,           0.0032185,           0.0032185,           0.0032185
                 139,            0.036182,            0.021688,          0.00070767,              0.8502,               0.828,              0.8623,             0.39755,            0.038692,            0.023885,           0.0010794,            0.003169,            0.003169,            0.003169
                 140,            0.035869,            0.020983,            0.000594,             0.78056,             0.77064,             0.81032,              0.3755,            0.038387,            0.024414,            0.000885,           0.0031195,           0.0031195,           0.0031195
                 141,            0.036203,            0.021271,          0.00063783,             0.63476,             0.79381,             0.82418,             0.37484,            0.037547,            0.023828,           0.0023552,             0.00307,             0.00307,             0.00307
                 142,            0.036022,            0.021316,          0.00074992,             0.71086,             0.82659,             0.82606,              0.3615,            0.039945,            0.024344,           0.0017598,           0.0030205,           0.0030205,           0.0030205
                 143,            0.035572,            0.021107,          0.00080224,             0.83953,             0.76514,             0.84906,             0.38923,            0.038134,            0.023677,           0.0013716,            0.002971,            0.002971,            0.002971
                 144,             0.03495,            0.020842,          0.00082442,             0.74985,             0.76301,             0.76072,             0.33671,            0.042388,            0.024341,           0.0012996,           0.0029215,           0.0029215,           0.0029215
                 145,            0.035061,             0.02076,          0.00082515,             0.81765,             0.76186,             0.80735,              0.3586,            0.040801,             0.02314,          0.00068735,            0.002872,            0.002872,            0.002872
                 146,            0.035403,            0.020979,          0.00070559,              0.7771,             0.71416,              0.8169,             0.37151,            0.037837,            0.023475,          0.00067787,           0.0028225,           0.0028225,           0.0028225
                 147,            0.035083,            0.021009,          0.00067514,             0.82147,             0.78415,             0.82959,             0.35092,             0.04148,            0.024131,           0.0013282,            0.002773,            0.002773,            0.002773
                 148,            0.036199,            0.021241,          0.00078234,             0.78741,             0.73522,             0.80562,             0.36076,            0.041594,            0.023251,          0.00085563,           0.0027235,           0.0027235,           0.0027235
                 149,            0.037672,            0.021761,          0.00079578,             0.77731,             0.80705,             0.82846,             0.36546,            0.038013,            0.023314,           0.0019777,            0.002674,            0.002674,            0.002674
                 150,            0.036116,            0.021258,          0.00068348,             0.79276,             0.78512,             0.80844,             0.34373,            0.039814,            0.022927,           0.0010288,           0.0026245,           0.0026245,           0.0026245
                 151,            0.035105,            0.021223,          0.00068025,             0.72189,             0.80331,             0.76937,             0.34416,            0.040908,            0.024144,           0.0010756,            0.002575,            0.002575,            0.002575
                 152,            0.034696,            0.020783,            0.000699,              0.9037,             0.86351,             0.90821,             0.41311,             0.03839,            0.022985,          0.00085911,           0.0025255,           0.0025255,           0.0025255
                 153,            0.034888,            0.020661,          0.00069749,             0.80164,             0.74241,             0.76898,             0.33526,            0.040655,            0.023774,          0.00093256,            0.002476,            0.002476,            0.002476
                 154,            0.034578,            0.020712,          0.00070886,             0.77947,             0.72846,             0.80646,             0.35079,             0.03889,            0.025722,           0.0023486,           0.0024265,           0.0024265,           0.0024265
                 155,            0.034958,            0.020686,          0.00077499,             0.92968,             0.79077,             0.87236,             0.36651,            0.040096,            0.023339,          0.00077978,            0.002377,            0.002377,            0.002377
                 156,            0.033664,            0.020294,           0.0007481,              0.7926,             0.77343,             0.79009,             0.37332,            0.039082,            0.023385,           0.0012747,           0.0023275,           0.0023275,           0.0023275
                 157,            0.033527,            0.020207,            0.000734,             0.76977,             0.72731,             0.74719,             0.33681,            0.040812,            0.023018,          0.00053618,            0.002278,            0.002278,            0.002278
